6363	3318	6208	3722	2049
2943	3528	2239	6507	4306
6850	3388	5137	2257	2552
4291	3281	7797	2021	7762
3261	4871	5424	3937	4883
2259	4905	3138	6329	4700
4140	5209	2423	6825	3848
7059	2106	2505	5752	2079
5856	6712	2559	6354	5535
7229	3362	6761	7212	7748
7682	2628	2974	4547	2207
7487	6562	3064	7584	4032
5957	3628	2968	3790	2784
5002	6079	2886	6486	4333
3244	5536	3114	2264	5211
4340	7575	6207	4547	5443
3039	5508	2479	4201	6523
6225	5649	2328	7110	3772
3595	4577	6731	7868	7131
5965	4444	7605	3942	7587
3121	7473	7693	6949	4645
5291	4853	5951	4119	3309
3290	6781	2493	3676	5212
6649	5708	2843	3620	5461
5629	7202	3815	6951	2134
6998	3608	4760	4883	6828
6800	7696	7316	6593	4050
4045	7547	2228	3762	4738
3338	4696	5310	5527	4709
4337	3328	5838	2569	7620
3496	5219	5421	7510	7299
3511	3470	3601	4641	7043
5639	2588	5867	4096	6458
5675	6221	3248	4417	5351
7487	7869	2569	5770	4712
6808	6391	5306	4451	3190
2085	4691	3947	5406	2362
6837	3378	2799	3251	4098
4408	2200	6626	6953	3241
2623	7259	6215	6741	2693
3896	5552	6136	7504	6077
7606	2358	7102	7002	7753
4028	2626	6329	2508	4889
7833	5781	6277	3410	2267
2282	3655	3980	5218	7333
3809	3503	5651	5018	6020
4328	3429	5827	7043	5608
5034	5382	2320	2015	4586
5420	3376	2059	6797	7542
4983	6341	5293	2383	5352
3621	7737	2389	4697	2362
5560	6796	2283	7841	6792
3866	7196	5635	2336	6918
4092	7156	4200	2974	3056
2854	4119	6844	7695	3165
4731	3415	5558	7592	4518
7192	2356	7810	3156	5293
4344	7758	3302	3221	5013
3910	4744	5246	2373	7317
3103	4965	7322	5871	4264
7333	5016	5449	5104	3732
4602	7434	2092	7709	7172
3955	2954	6907	7307	5565
6542	2394	2036	4172	7863
2819	3153	7608	7539	5469
5296	4142	3450	2383	7590
4798	4212	4721	3780	2588
7453	3224	5177	6352	6467
7450	4517	7015	6364	5716
4543	6063	2818	4877	7133
2208	4548	5888	7891	4163
2389	5056	5684	4715	3369
7450	7343	2850	6227	2717
2024	5502	7482	6444	3462
2179	3182	7624	3477	6507
6198	4817	4638	6855	4606
3352	2149	7644	4042	2879
7897	6237	3847	5991	6130
4532	6350	4127	3202	2710
2905	2366	7222	7390	4823
6905	2602	2095	6276	3583
3657	2829	7537	2814	4460
2186	5125	2891	3650	4848
5355	7640	4893	4826	5558
7520	6640	6975	7707	6342
6510	2868	2451	6880	3718
4403	7846	2913	7376	5897
6143	5518	4580	2794	5529
7750	2910	7250	4148	6821
3595	4461	6533	3774	5941
3846	5889	6470	7053	4486
2909	4602	2774	2839	3824
7705	3455	6899	3351	7733
7301	3772	6979	7067	2876
5220	3537	2191	2507	7809
2693	4414	3065	7750	2170
6348	3677	2817	3663	3026
2731	2053	6402	2716	6156
4565	4992	7501	7849	2746
6730	2095	3311	6716	5518
3602	7149	5615	4752	2334
5478	2170	4914	5689	2986
3248	4482	3275	4501	3572
6307	5912	5231	4864	6947
6164	6473	6266	7843	6087
2960	3399	2385	3936	2024
4879	6543	2499	3924	5635
7603	7551	2129	3378	5598
5092	3989	5024	6860	7044
2614	4711	5939	2361	2374
3130	3200	3346	5767	4605
4971	6496	6606	5587	5428
5504	7540	2653	3207	6411
5066	4129	7722	7007	7382
6308	2472	5676	3884	3767
3016	3954	4369	5427	3190
3746	5977	3364	6010	5990
4064	4080	2219	2917	2403
6191	7434	5248	4271	4515
5757	2439	6657	5856	7489
5688	7533	4322	7399	2899
3733	3649	3712	4705	7485
4550	7144	7654	5323	4610
4360	4378	2476	4591	5196
2012	7069	2674	5805	4789
5635	5087	3623	2375	4049
4794	5462	3006	2621	7073
6326	4215	7221	5377	2792
4286	3345	5720	2897	6534
6063	4303	7262	3612	7709
2122	4542	2806	2560	4648
4937	2885	3104	3847	4031
7335	3294	5330	7513	2857
6850	3206	5885	5218	7161
4506	3523	5807	5711	5983
2886	7180	3065	7578	7271
3810	5248	6155	2502	7711
6874	6545	5089	4208	4485
2451	3739	6130	4584	7099
3801	5714	6884	5068	2738
3947	5021	3703	2748	6783
3719	4458	5225	2890	3606
2248	4646	6516	5529	3350
7026	5141	4659	2925	6869
7585	7562	7818	2705	7747
3918	4724	2184	5694	2039
7811	7867	4030	7030	5082
